id	Col_0_1	Col_0_2	Col_0_3	Col_48_1	Col_48_2	Col_48_3	col0_1	col0_2	col0_3	bmi1abc_1	bmi1abc_2	clfswn_1	clfswn_2	clfswn_3
AT3G24050	6.940254314	6.838253919	7.391359583	43.00800701	48.12040252	44.72246999	52.48958	55.19064	59.53114	32.75343	34.65561	30.18068	29.71756	27.45223
AT3G24060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G24068	0.165054378	0	0	0.237096708	0	0	0	0	0	0	0	0	0	0
AT3G24070	26.17588696	32.26479074	26.84754652	15.97033508	15.88927399	15.0685081	13.20217	12.36539	12.31473	3.815533	5.199396	9.6764	9.51698	8.614193
AT3G24080	5.145693521	4.191548358	3.211311076	54.62745646	54.9143362	81.69653662	34.97605	41.78379	44.71953	41.70514	44.75056	57.70828	65.2494	63.13701
AT3G24090	3.691670518	5.263786585	4.769729766	5.200358666	4.907606077	5.169309889	2.101574	1.865245	1.818769	3.789754	2.56109	2.956439	3.82533	2.937583
AT3G24100	23.35972896	26.42709825	24.47191074	89.27081861	92.3727745	86.73230975	64.71695	84.60572	78.79623	62.00949	78.47803	45.1141	53.8154	53.0884
AT3G24110	0.238917134	0.769542894	0.113380243	1.286995531	1.601645917	1.814916604	2.207481	3.164242	2.167331	0.577072	0.088643	1.40244	1.920211	1.553968
AT3G24120	11.22853624	12.0021534	12.21951522	17.60736276	19.24878703	19.22420066	20.37362	22.09613	21.11195	9.884008	10.89789	12.95483	13.98363	14.42942
AT3G24130	0	0	0	0.065396708	0	0	0.253423	0.056566	0.050457	0	0	0	0	0.065293
AT3G24140	0	0.025694797	0	1.824893664	2.012478747	2.400894388	24.74191	24.22293	26.96456	0.26089	0.405772	1.51895	1.368415	1.539318
AT3G24150	15.61886001	19.93802013	16.99941783	8.047739676	10.54240719	9.334588457	5.485974	5.604173	6.627079	5.414981	7.009912	10.20403	10.31544	9.18604
AT3G24160	30.37852262	29.44695313	28.08770248	100.5007381	94.40971204	99.27069944	104.0224	115.9361	117.1991	78.09739	79.30683	88.31752	88.39353	90.69351
AT3G24170	13.68138277	13.0161718	11.59860961	108.2990828	88.48978143	99.46504103	35.4345	38.52247	37.47981	164.2529	145.2615	152.004	151.1121	151.3409
AT3G24180	19.69525276	23.10332537	18.77760214	24.3916568	22.72387691	24.87521539	16.93281	16.58282	15.51258	32.79108	35.46576	32.55031	43.5864	39.80128
AT3G24190	9.949584066	9.180065649	8.616638069	14.50889266	13.30921621	13.74205282	17.32413	20.34774	19.73833	15.02547	15.88615	29.28522	31.03214	28.23711
AT3G24200	18.08250992	23.26216918	20.638366	18.86108922	17.62040112	18.1253124	14.60789	13.1141	16.06866	22.13307	22.60025	15.71306	15.04405	15.97455
AT3G24210	0.434855951	0.545896028	0.330183593	4.289333932	3.682326326	5.075625878	3.064224	2.705609	3.20046	2.363266	1.271396	0.789946	0.993177	1.366044
AT3G24220	1.8724259	2.319619909	2.423389923	0	0.060058927	0	0	0	0	0.149956	0.065133	0.245361	0.019328	0.08029
AT3G24225	0	0	0	0.135563529	0	0	0	0.151254	0.165259	0.491742	1.402329	0.763029	0.291227	0.213849
AT3G24240	0.209293336	0.113139991	0.090292734	43.34753175	47.52931845	53.84949564	5.673347	6.221645	6.001972	87.27123	62.50878	7.285076	6.252899	5.838443
AT3G24255	0.211188489	0.209301537	0.083517808	1.036504826	1.167380568	1.120448108	1.266337	1.373812	1.27468	1.493682	1.512341	2.047142	2.27213	2.252159
AT3G24280	0	0	0	0	0	0	0.108286	0	0	0	0	0.228055	0	0.296848
AT3G24290	0	0	0	0.077283031	0	0.077845901	0	0	0	0	0.015193	0	0.006913	0
AT3G24300	0	0	0	2.907425847	2.156956671	2.330927541	8.148201	9.563195	10.4407	1.613932	0.909282	12.38881	10.84487	9.115242
